CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0152,0.9998575510497842
C0001,C0107,0.9894740527096548
C0001,C0011,0.9797130351182887
C0002,C0142,0.9938024644135034
C0002,C0186,0.9732948498136337
C0002,C0005,0.9674067708076619
C0003,C0192,0.9686926418934176
C0003,C0031,0.9629551084342703
C0003,C0085,0.9584056341363035
C0004,C0108,0.9839727199931884
C0004,C0012,0.9832416601607017
C0004,C0165,0.9817549749216076
C0005,C0159,0.9999455231739872
C0005,C0186,0.9974444745523914
C0005,C0007,0.9874650247280466
C0006,C0158,0.9724550769103025
C0006,C0187,0.9110258539188617
C0006,C0011,0.8957205980191282
C0007,C0159,0.9890587347358178
C0007,C0005,0.9874650247280466
C0007,C0115,0.9840746901947842
C0008,C0109,0.9807251512104392
C0008,C0098,0.940289425792585
C0008,C0139,0.9109395300248702
C0009,C0062,0.9869847556359529
C0009,C0198,0.9843814650759048
C0009,C0132,0.9770379610656145
C0010,C0199,0.9973774687512275
C0010,C0062,0.9740631393803136
C0010,C0009,0.9705656058109543
C0011,C0107,0.9984013884115915
C0011,C0152,0.9829559839096313
C0011,C0001,0.9797130351182887
C0012,C0155,0.9992715181409704
C0012,C0108,0.9939413786701994
C0012,C0013,0.9842357763179255
C0013,C0087,0.9944093874644948
C0013,C0155,0.9902683808376954
C0013,C0099,0.9900420421333551
C0014,C0060,0.999473639733066
C0014,C0063,0.9848307552692758
C0014,C0198,0.9680738534713804
C0015,C0144,0.9995568739255368
C0015,C0131,0.9798273701691549
C0015,C0033,0.9710274461888448
C0016,C0183,0.9999218665778101
C0016,C0018,0.9206916583719976
C0016,C0079,0.9090147567632154
C0017,C0075,0.9768081562630977
C0017,C0051,0.9506750798166803
C0017,C0041,0.9249439181608021
C0018,C0016,0.9206916583719976
C0018,C0183,0.9157409195372705
C0018,C0079,0.902360734923283
C0019,C0069,0.9287485312729026
C0019,C0010,0.8384095653391651
C0019,C0199,0.8383270386551227
C0020,C0058,0.9969665384473428
C0020,C0033,0.9934502199547273
C0020,C0144,0.9637605121338114
